iso3,year,hs27_import_value,all_import_value,exp_imp,exp_imp_pct
ARM,2017,626673273.92,3893454903.13,0.16095557532108795,16.095557532108796
ARM,2018,677923441.52,4809614541.65,0.14095171986223862,14.095171986223862
ARM,2019,765453776.668,5062814717.898,0.1511913469718687,15.11913469718687
ARM,2020,719322518.59,4451099637.6,0.16160557551074128,16.160557551074128
ARM,2021,908326404.585,5323905109.255,0.1706128088207242,17.06128088207242
ARM,2022,1164825909.97,8649653422.74,0.1346673505909109,13.46673505909109
ARM,2023,1067460078.707,12473824718.577,0.08557600437636859,8.557600437636859
ARM,2024,1074609285.352,16801485129.582,0.06395918438543027,6.395918438543028
ATG,2015,78122255.0,465127071.0,0.16795895115724194,16.795895115724193
ATG,2016,75953074.0,490525305.0,0.15484027679265192,15.484027679265191
ATG,2017,102646392.657,629819171.869,0.16297756124570636,16.297756124570636
ATG,2018,6379372.521,569155190.996,0.011208493960735628,1.1208493960735628
ATG,2019,5177291.822,568340063.182,0.009109496509912713,0.9109496509912712
ATG,2020,74964134.233,498112635.318,0.15049635146304238,15.049635146304238
ATG,2021,121324488.742,595524418.212,0.20372714372697617,20.37271437269762
ATG,2022,7285582.233,627945130.265,0.011602259308747887,1.1602259308747886
ATG,2023,6950692.078,669653743.723,0.010379531426729587,1.0379531426729587
ATG,2024,6171721.52,663106097.844,0.00930729115607068,0.930729115607068
AUS,2015,21748482422.0,200113779978.0,0.10868058373786639,10.868058373786639
AUS,2016,17534290618.0,189406027941.0,0.09257514562029638,9.257514562029638
AUS,2017,23652493510.599,228429293201.109,0.10354404717163555,10.354404717163556
AUS,2018,31293230205.304,235632823913.726,0.1328050552785533,13.280505527855329
AUS,2019,27835783566.46,221527797251.589,0.12565368279650665,12.565368279650665
AUS,2020,17248149703.562,210212509293.219,0.08205101476384112,8.205101476384112
AUS,2021,26858481946.79,261586379464.768,0.10267538394676799,10.2675383946768
AUS,2022,47240018748.371,309300244763.119,0.1527319151801845,15.27319151801845
AUS,2023,42492798655.313,287861341163.506,0.14761550989640176,14.761550989640176
AUS,2024,39453704018.927,296481761665.157,0.13307295463079968,13.307295463079969
AUT,2015,11685815308.997,147927653250.615,0.07899682751810583,7.899682751810583
AUT,2016,9884957953.733,149987386054.557,0.06590526186073678,6.590526186073678
AUT,2017,12126759175.588,166475080970.019,0.07284429059849469,7.284429059849469
AUT,2018,15081999556.323,184195200603.949,0.08188052406833261,8.188052406833261
AUT,2019,13762481746.513,176596131348.864,0.07793195491539588,7.7931954915395885
AUT,2020,9432614344.286,164635579303.554,0.05729389955796983,5.729389955796983
AUT,2021,16505337670.819,210913061446.332,0.07825659329789243,7.825659329789243
AUT,2022,28601225593.776,226475409356.762,0.12628843756154157,12.628843756154156
AUT,2023,19718101946.775,219097053477.848,0.0899971114799525,8.99971114799525
